osm_id,name,description,category,lat,lon,commune,village,osm_link,gmaps_link,wiki_block,im1_block,im2_block,im3_block,im4_block,im5_block,im6_block
269237763,September 1944,,memorial,49.560696,5.872327,Pétange,Pétange,https://www.openstreetmap.org/node/269237763,https://www.google.com/maps?q=49.5606955 5.8723272,"<div style=""font-size:1em"">Wikipedia: <a href=""https://lb.wikipedia.org/wiki/US-Monument_P%C3%A9iteng"" target=""_blank"" style=""text-decoration:none"">lb</a></div>",,,,,,
3971570673,Memorial 24 Dec. 1944,,memorial,50.07755,6.02292,Wincrange,Maulusmühle,https://www.openstreetmap.org/node/3971570673,https://www.google.com/maps?q=50.0775499 6.0229202,,"<a href='https://upload.wikimedia.org/wikipedia/commons/4/43/Kr%C3%ABschtdag_1944_Monument.jpg' target='_blank' rel='noopener noreferrer'><img src='https://upload.wikimedia.org/wikipedia/commons/4/43/Kr%C3%ABschtdag_1944_Monument.jpg' style='width:100%;display:block'></a><div style='color:#666;font-size:0.8em'><a href=""https://commons.wikimedia.org/wiki/File:Kr%C3%ABschtdag_1944_Monument.jpg"">R2lx</a>, <a href=""https://creativecommons.org/licenses/by-sa/4.0"">CC BY-SA 4.0</a>, via Wikimedia Commons (2021)</div><br>",,,,,
2494827221,11th Tank Battalion Memorial,,memorial,49.572816,6.156823,Hesperange,Hesperange,https://www.openstreetmap.org/node/2494827221,https://www.google.com/maps?q=49.5728164 6.156823,,"<a href='https://upload.wikimedia.org/wikipedia/commons/3/3c/Hesperange_1944_tank_accident_memorial.jpg' target='_blank' rel='noopener noreferrer'><img src='https://upload.wikimedia.org/wikipedia/commons/3/3c/Hesperange_1944_tank_accident_memorial.jpg' style='width:100%;display:block'></a><div style='color:#666;font-size:0.8em'><a href=""https://commons.wikimedia.org/wiki/File:Hesperange_1944_tank_accident_memorial.jpg"">Cayambe</a>, <a href=""https://creativecommons.org/licenses/by-sa/4.0"">CC BY-SA 4.0</a>, via Wikimedia Commons (2017)</div><br>","<a href='https://upload.wikimedia.org/wikipedia/commons/c/ce/U.S.-Monument_bei_der_Br%C3%A9ck_zu_Hesper-101.jpg' target='_blank' rel='noopener noreferrer'><img src='https://upload.wikimedia.org/wikipedia/commons/c/ce/U.S.-Monument_bei_der_Br%C3%A9ck_zu_Hesper-101.jpg' style='width:100%;display:block'></a><div style='color:#666;font-size:0.8em'><a href=""https://commons.wikimedia.org/wiki/File:U.S.-Monument_bei_der_Br%C3%A9ck_zu_Hesper-101.jpg"">Jwh at Wikipedia Luxembourg</a>, <a href=""https://creativecommons.org/licenses/by-sa/3.0/lu/deed.en"">CC BY-SA 3.0 LU</a>, via Wikimedia Commons (2014)</div><br>","<a href='https://upload.wikimedia.org/wikipedia/commons/3/3e/U.S.-Monument_bei_der_Br%C3%A9ck_zu_Hesper-103.jpg' target='_blank' rel='noopener noreferrer'><img src='https://upload.wikimedia.org/wikipedia/commons/3/3e/U.S.-Monument_bei_der_Br%C3%A9ck_zu_Hesper-103.jpg' style='width:100%;display:block'></a><div style='color:#666;font-size:0.8em'><a href=""https://commons.wikimedia.org/wiki/File:U.S.-Monument_bei_der_Br%C3%A9ck_zu_Hesper-103.jpg"">Jwh at Wikipedia Luxembourg</a>, <a href=""https://creativecommons.org/licenses/by-sa/3.0/lu/deed.en"">CC BY-SA 3.0 LU</a>, via Wikimedia Commons (2014)</div><br>",,,
4126454468,Memorial Mett Steffen,,memorial,49.911043,6.151776,Tandel,Brandenbourg,https://www.openstreetmap.org/node/4126454468,https://www.google.com/maps?q=49.9110427 6.1517764,,"<a href='https://upload.wikimedia.org/wikipedia/commons/2/2e/Tandel%2C_plaque_Mett_Steffen_%C3%A0_Brandenbourg_%28Heedebierg%29_%28101%29.jpg' target='_blank' rel='noopener noreferrer'><img src='https://upload.wikimedia.org/wikipedia/commons/2/2e/Tandel%2C_plaque_Mett_Steffen_%C3%A0_Brandenbourg_%28Heedebierg%29_%28101%29.jpg' style='width:100%;display:block'></a><div style='color:#666;font-size:0.8em'><a href=""https://commons.wikimedia.org/wiki/File:Tandel,_plaque_Mett_Steffen_%C3%A0_Brandenbourg_(Heedebierg)_(101).jpg"">GilPe</a>, <a href=""https://creativecommons.org/licenses/by-sa/4.0"">CC BY-SA 4.0</a>, via Wikimedia Commons (2024)</div><br>",,,,,
5009395439,Memorial Spahis algériens,,memorial,49.557414,5.924114,Sanem,Bascharage,https://www.openstreetmap.org/node/5009395439,https://www.google.com/maps?q=49.5574138 5.9241139,,"<a href='https://upload.wikimedia.org/wikipedia/commons/c/c3/K%C3%A4erjeng%2C_Monument_6e_r%C3%A9giment_de_spahis_alg%C3%A9riens_%28102%29.jpg' target='_blank' rel='noopener noreferrer'><img src='https://upload.wikimedia.org/wikipedia/commons/c/c3/K%C3%A4erjeng%2C_Monument_6e_r%C3%A9giment_de_spahis_alg%C3%A9riens_%28102%29.jpg' style='width:100%;display:block'></a><div style='color:#666;font-size:0.8em'><a href=""https://commons.wikimedia.org/wiki/File:K%C3%A4erjeng,_Monument_6e_r%C3%A9giment_de_spahis_alg%C3%A9riens_(102).jpg"">GilPe</a>, <a href=""https://creativecommons.org/licenses/by-sa/4.0"">CC BY-SA 4.0</a>, via Wikimedia Commons (2025)</div><br>","<a href='https://upload.wikimedia.org/wikipedia/commons/a/a8/Plack_Spahis_Bascharage.jpg' target='_blank' rel='noopener noreferrer'><img src='https://upload.wikimedia.org/wikipedia/commons/a/a8/Plack_Spahis_Bascharage.jpg' style='width:100%;display:block'></a><div style='color:#666;font-size:0.8em'><a href=""https://commons.wikimedia.org/wiki/File:Plack_Spahis_Bascharage.jpg"">Les Meloures</a>, <a href=""https://creativecommons.org/licenses/by-sa/4.0"">CC BY-SA 4.0</a>, via Wikimedia Commons (2009)</div><br>",,,,
8718904042,150 Joer Onhofängegkeet 1989,,memorial,50.145859,5.982273,Troisvierges,Basbellain,https://www.openstreetmap.org/node/8718904042,https://www.google.com/maps?q=50.1458588 5.9822729,,"<a href='https://upload.wikimedia.org/wikipedia/commons/7/78/150_Joer_Onafh%C3%A4nigigkeet%2C_Kierchen.jpg' target='_blank' rel='noopener noreferrer'><img src='https://upload.wikimedia.org/wikipedia/commons/7/78/150_Joer_Onafh%C3%A4nigigkeet%2C_Kierchen.jpg' style='width:100%;display:block'></a><div style='color:#666;font-size:0.8em'><a href=""https://commons.wikimedia.org/wiki/File:150_Joer_Onafh%C3%A4nigigkeet,_Kierchen.jpg"">Jwh at Wikipedia Luxembourg</a>, <a href=""https://creativecommons.org/licenses/by-sa/3.0/lu/deed.en"">CC BY-SA 3.0 LU</a>, via Wikimedia Commons (2016)</div><br>",,,,,
7834521150,100 Joër Eisebaan,,memorial,50.119035,5.991908,Troisvierges,Troisvierges,https://www.openstreetmap.org/node/7834521150,https://www.google.com/maps?q=50.1190347 5.9919077,,"<a href='https://upload.wikimedia.org/wikipedia/commons/8/82/Troisvierges_train_station_photo_3.jpg' target='_blank' rel='noopener noreferrer'><img src='https://upload.wikimedia.org/wikipedia/commons/8/82/Troisvierges_train_station_photo_3.jpg' style='width:100%;display:block'></a><div style='color:#666;font-size:0.8em'><a href=""https://commons.wikimedia.org/wiki/File:Troisvierges_train_station_photo_3.jpg"">Alf van Beem</a>, CC0, via Wikimedia Commons (2022)</div><br>",,,,,
3434822898,Memorial 109th Infantry Regiment,,memorial,49.880366,6.25613,Reisdorf,Hoesdorf,https://www.openstreetmap.org/node/3434822898,https://www.google.com/maps?q=49.8803665 6.2561296,,"<a href='https://upload.wikimedia.org/wikipedia/commons/8/88/Reisdorf%2C_Hoesdorf_monument_Bataille_des_Ardennes_%28101%29.jpg' target='_blank' rel='noopener noreferrer'><img src='https://upload.wikimedia.org/wikipedia/commons/8/88/Reisdorf%2C_Hoesdorf_monument_Bataille_des_Ardennes_%28101%29.jpg' style='width:100%;display:block'></a><div style='color:#666;font-size:0.8em'><a href=""https://commons.wikimedia.org/wiki/File:Reisdorf,_Hoesdorf_monument_Bataille_des_Ardennes_(101).jpg"">GilPe</a>, <a href=""https://creativecommons.org/licenses/by-sa/3.0"">CC BY-SA 3.0</a>, via Wikimedia Commons (2021)</div><br>","<a href='https://upload.wikimedia.org/wikipedia/commons/a/a8/Reisdorf%2C_Hoesdorf_monument_Bataille_des_Ardennes_%28102%29.jpg' target='_blank' rel='noopener noreferrer'><img src='https://upload.wikimedia.org/wikipedia/commons/a/a8/Reisdorf%2C_Hoesdorf_monument_Bataille_des_Ardennes_%28102%29.jpg' style='width:100%;display:block'></a><div style='color:#666;font-size:0.8em'><a href=""https://commons.wikimedia.org/wiki/File:Reisdorf,_Hoesdorf_monument_Bataille_des_Ardennes_(102).jpg"">GilPe</a>, <a href=""https://creativecommons.org/licenses/by-sa/3.0"">CC BY-SA 3.0</a>, via Wikimedia Commons (2021)</div><br>","<a href='https://upload.wikimedia.org/wikipedia/commons/6/69/Reisdorf%2C_Hoesdorf_monument_Bataille_des_Ardennes_%28103%29.jpg' target='_blank' rel='noopener noreferrer'><img src='https://upload.wikimedia.org/wikipedia/commons/6/69/Reisdorf%2C_Hoesdorf_monument_Bataille_des_Ardennes_%28103%29.jpg' style='width:100%;display:block'></a><div style='color:#666;font-size:0.8em'><a href=""https://commons.wikimedia.org/wiki/File:Reisdorf,_Hoesdorf_monument_Bataille_des_Ardennes_(103).jpg"">GilPe</a>, <a href=""https://creativecommons.org/licenses/by-sa/3.0"">CC BY-SA 3.0</a>, via Wikimedia Commons (2021)</div><br>",,,
3667264704,5th U.S. Infantry Division Memorial,,memorial,49.833698,6.383431,Berdorf,Weilerbach,https://www.openstreetmap.org/node/3667264704,https://www.google.com/maps?q=49.8336976 6.3834308,,"<a href='https://upload.wikimedia.org/wikipedia/commons/e/ed/5th_Infantry_Division_Memorial%2C_Weilerbaach-101.jpg' target='_blank' rel='noopener noreferrer'><img src='https://upload.wikimedia.org/wikipedia/commons/e/ed/5th_Infantry_Division_Memorial%2C_Weilerbaach-101.jpg' style='width:100%;display:block'></a><div style='color:#666;font-size:0.8em'><a href=""https://commons.wikimedia.org/wiki/File:5th_Infantry_Division_Memorial,_Weilerbaach-101.jpg"">Jwh at Wikipedia Luxembourg</a>, <a href=""https://creativecommons.org/licenses/by-sa/3.0/lu/deed.en"">CC BY-SA 3.0 LU</a>, via Wikimedia Commons (2018)</div><br>","<a href='https://upload.wikimedia.org/wikipedia/commons/1/19/5th_Infantry_Division_Memorial%2C_Weilerbaach-102.jpg' target='_blank' rel='noopener noreferrer'><img src='https://upload.wikimedia.org/wikipedia/commons/1/19/5th_Infantry_Division_Memorial%2C_Weilerbaach-102.jpg' style='width:100%;display:block'></a><div style='color:#666;font-size:0.8em'><a href=""https://commons.wikimedia.org/wiki/File:5th_Infantry_Division_Memorial,_Weilerbaach-102.jpg"">Jwh at Wikipedia Luxembourg</a>, <a href=""https://creativecommons.org/licenses/by-sa/3.0/lu/deed.en"">CC BY-SA 3.0 LU</a>, via Wikimedia Commons (2018)</div><br>",,,,
9549179053,À nos morts 1940-1945,,memorial,49.606995,6.13764,Luxembourg,Grund,https://www.openstreetmap.org/node/9549179053,https://www.google.com/maps?q=49.6069954 6.1376399,,"<a href='https://upload.wikimedia.org/wikipedia/commons/d/dd/Memorial_Grund_-_A_NOS_MORTS_1940-1945_20211020_080253.jpg' target='_blank' rel='noopener noreferrer'><img src='https://upload.wikimedia.org/wikipedia/commons/d/dd/Memorial_Grund_-_A_NOS_MORTS_1940-1945_20211020_080253.jpg' style='width:100%;display:block'></a><div style='color:#666;font-size:0.8em'><a href=""https://commons.wikimedia.org/wiki/File:Memorial_Grund_-_A_NOS_MORTS_1940-1945_20211020_080253.jpg"">Paul Braun</a>, CC0, via Wikimedia Commons (2021)</div><br>","<a href='https://upload.wikimedia.org/wikipedia/commons/6/61/Memorial_Grund_-_A_NOS_MORTS_1940-1945_20211020_080309.jpg' target='_blank' rel='noopener noreferrer'><img src='https://upload.wikimedia.org/wikipedia/commons/6/61/Memorial_Grund_-_A_NOS_MORTS_1940-1945_20211020_080309.jpg' style='width:100%;display:block'></a><div style='color:#666;font-size:0.8em'><a href=""https://commons.wikimedia.org/wiki/File:Memorial_Grund_-_A_NOS_MORTS_1940-1945_20211020_080309.jpg"">Paul Braun</a>, CC0, via Wikimedia Commons (2021)</div><br>",,,,
